id,node_id,name,parent_id,create_user_id,parent_mindMap_id,details,img_url,attachment_url,attachment_name,is_premium
1,1,装修知识导图,,1,1,,,,,
2,2,1 装修准备,1,1,1,,,,,
3,3,1.1 装修入门知识,2,1,1,,,/docs/装修入门知识总结.md,装修入门知识总结.md,1
4,4,2 暖通门窗阶段,1,1,1,,,,,
5,5,2.1 封窗,4,1,1,,,,,
6,6,2.1.1 封窗知识与线上挑选,5,1,1,"# 封窗怕被坑？3 步 + 21 个问题线上筛选精准避坑
封窗挑选确实让人头大，价格不菲、术语又多，还关系着未来十几年的隔音、安全和节能。别担心，我们完全可以把这件事拆解清楚，像侦探一样，一步步筛出靠谱的商家。

## **第一步：建立知识框架——搞懂窗户结构**

在开始搜索前，花20分钟建立基础的知识框架，能让我们在后续沟通中显得很“懂行”，有效避免被忽悠。先来了解一下窗户的分类：
- 从结构上分类：包括纱窗、窗扇（平开窗、推拉窗）、落地玻璃、窗框等；
- 从型材上分：包括”塑钢窗“、”铝合金窗“、”断桥铝窗“：“塑钢窗”保温隔热不错，但强度低；“铝合金窗”强度高、不保温不隔音，没什么人用；断桥铝保温且强度高，是现在的主流选择；

- **核心三要素：型材、玻璃、五金**
    1.  **型材（骨骼）**：
        - **宽度**：如80、90、108、120系列，指窗框厚度。**并非越宽越好**，高层、大风、大玻璃用更宽的（如108以上），一般情况90系列足够。
        - **铝材壁厚**：新国标要求外窗主型材壁厚≥1.8mm。直接问商家：“壁厚是多少？是实测还是公称厚度？”
        - **隔热条**：这是“断桥”的关键！多腔隔热条保温隔热效果好。问清：“隔热条是PA66尼龙的吗？”（千万别是PVC的）。
        - **腔体**：主框型材内部的空腔，起到保温隔热的作用，一般3~6个足够。
        - **密封**：窗扇与窗框之间的密封胶条数量，一般2~3个。

    2.  **玻璃（皮肤）**：占面积的80%，直接决定隔音、隔热、安全。
        - **基础选择**：一定要 **“钢化玻璃”** （有3C认证）。
        - **进阶需求**：
            *   **隔音靠夹胶**：**“中空夹胶玻璃”** ，对中低频噪音（车流、说话）效果显著（如5mm玻璃+0.76mm胶膜+5mm玻璃+12A中空+5mm玻璃）。
            *   **保温看中空气体**：**“三玻两腔中空”** 或 **“Low-E中空玻璃”** （玻璃有镀膜，反射热量），中间充氩气。问清“中空层宽度是多少？（如9A, 12A, 15A）”A代表毫米，并非越大越好，12-15A是常见均衡值。
        - **原片**：看玻璃原片是否大厂生产，是否有一体折弯工艺；
    
    3.  **五金（关节）**：决定窗户开关顺滑度、密封性和耐用性。
        - **务必问清品牌**：常见优质品牌如**进口：好博（仅执手）、丝吉利娅、格屋；国产：深圳好博、坚朗、派阁等；合资：斯坦福、希美克、维哈根、瑞纳斯等**。问：“五金是全套都用这个品牌，还是只有执手是？”一般进口比国产贵150-200/开启扇；
        - **包括**：滑撑、锁盒、锁点、锁座、提升块、执手、防坠绳等；

## **第二步：线上初筛——网上信息收集对比**

带着基础知识，开始有目的地搜索和筛选。

- **线上搜索商家信息**
    1.  **本地搜索**：在小红书、抖音、大众点评搜索 **“城市名 + 封窗”** 或 **“城市名 + 阳台窗”**，其中能找到一些封窗商家。重点看本地博主的**安装实拍**，以及评论区里的真实讨论。
    2.  **生活平台**：在淘宝、京东上搜索本地封窗商家，**仔细翻阅“问大家”和带图的长评价**，特别注意关于测量、安装服务和售后处理的反馈。

- **重点看什么？避开什么？**
    - **看“过程”而非“效果”**：华丽的完工视频可能是滤镜。要寻找那些展示了**安装细节**（如防水处理、螺丝打法等）和**产品细节**（如隔热条喷码、玻璃合片标识）的内容。
    - **警惕“低价全包”**：对明显低于市场均价（如某地市场价1000元/平，它报600全包）的套餐保持警惕。“它省下的成本，是从型材厚度、五金品牌还是玻璃品质上抠出来的？”
    - **核实商家背景**：对初步有意向的商家，用“天眼查”或“企查查”快速查一下：
        1.  成立年限（建议选3年以上，经历市场检验）。
        2.  有无法律诉讼（尤其是装修合同纠纷）。
        3.  经营状态是否正常。

## **第三步：有效沟通——把问题“砸”给客服**

线上沟通是验证商家专业度和服务态度的试金石。不要只问“多少钱一平”，要学会问具体问题。

- **必问的“灵魂拷问”清单**
    可以把下面这些问题，直接复制发给客服或销售人员：
    1. 问老板**铝材牌子**，避万坑。（不错的品牌：东城铝材，华建铝材，兴发铝材，栋梁铝材，凤铝铝材，栋梁铝材，高登铝材，亚铝铝材，坚美铝材等）
    2. 壁厚问**通体壁厚**，不要只重视局部壁厚。（通体壁厚指门窗所有的筋，有主框，副框，玻扇，纱扇 等。国标强制执行标准1.4mm，基本可以适用大部分高楼层。新国标1.8mm基本我国居民建筑都够用了）
    3. **主框，副框，玻扇**分别是多少腔体？（叫的上名的品牌主框基本都是4腔体以上，玻扇和副框分别3腔体）
    4. **纱窗**可以选择标配有哪些？（金刚网、高清，高透。推荐选高清网，网孔密集不容易损坏）
    5. **玻璃**是哪家厂的原片？（不错的品牌有信义原片，南玻原片，台玻原片，旗兵原片，沙玻原片等）
    6. **玻璃的深加工厂**是哪家？（通过3C认证编码搜索加工厂，体量小的加工厂不要选，因为技术和设备 的落后会存在玻璃生产出来带有水波纹，增加自爆率，密封性不好容易漏气起雾。）
    7. **玻璃是不是标配充氩气**？（一般门窗生产商家拥有自己的玻璃生产线，基本都标配所有玻璃充氩气 的，部分商家会加收费用15左右/平方）
    8. **玻璃标配的是5mm还是6mm**？（玻璃升级6mm或8mm加价怎么算，一般标配5mm，大玻璃3平方升级 6mm，4平方升级8mm，5平方升级10mm）
    9.  **Lowe玻璃**是标配还是额外加价的？超白玻加多少钱；（Lowe玻璃一般是选配项，标配都是白玻，加价一般在50-80/平方；）
    10. **五金品牌是什么**？（600-800/平方的门窗常见五金品牌有：进口好博执手，唯哈根，希美克，霍曼，坚朗，合和，国强，春光，固宇，科鲁克，斯坦福，瑞纳斯，深圳好博。800-1000/平方的门窗常 见五金品牌有：丝吉利娅，诺托，索宾柯，格屋，AGB，吉斯，玻璃希美克）
    11. **隔热条是什么品牌**？（隔热条常见品牌：信高，科源，盈科，宝泰，优泰，克洛斯，源发，融海，白云。单平方1000以上的隔热条：泰诺风，巴斯夫，亚松，舒兹曼。）
    12. **隔热条是什么型号**？（尼龙PA66，隔热条常见的有I字形`<C字形<多腔体<栅栏式<多腔栅栏式`。其中I字形基本已经被淘汰，有积水隐患存在。）
    13. **密封胶条是什么品牌**？**是不是三元乙丙**？（常见品牌：江阴海达，宁波新安东，窗友，联合  强，白云，实达，天赏。）
    14. **安装辅材有哪些**？（辅材一般同价内可以指定门店使用，胶水用瓦克或之江，发泡剂用美盛或易高，螺丝用12cm304的拉爆螺丝或欧式自切螺丝，别用小黄鱼）
    15. **中空铝条是不是拼接的**？（最好一体折弯）
    16. **旧窗拆除是否包修边**？
    17. **质保多久**？（一般玻璃质保5年左右，五金质保10年左右，最好选择整窗质保。）
    18. **玻扇有几道密封**？（最好3道）
    19. **是否是垂直隔热**？（最好是）
    20. **关于报价**：“你们的报价具体包含哪些费用？是否包含**测量、运输、安装、所有五金、纱窗、防水胶及打胶服务**？还有没有其他可能产生的额外费用（如吊装费、开扇费）？”
    21. **关于安装**：“安装团队是公司自有的，还是外包的？防水会怎么做？（一般要求外墙刷防水后再打耐候密封胶）”
    22. **关于售后**：“玻璃、五金、以及整体系统的质保分别是多久？**质保期是书面合同承诺吗？** 如果玻璃自爆或起雾，如何处理？”

- **评估对方的回复**
    - **专业型**：回答清晰具体，能主动解释原理，提供品牌证据（如隔热条喷码照片）。
    - **套路型**：只说“我们是最好的”、“绝对没问题”，但对具体参数避而不谈或含糊其辞。
    - **服务型**：耐心解答，主动邀请你去看工厂或工地，不急于逼单。

祝你能用上这份攻略，像一位经验丰富的采购经理一样，为自己家挑到那扇完美又靠谱的窗户。","['封窗知识图片/窗户结构.png','封窗知识图片/玻璃结构.png']",,,1
7,7,2.1.2 封窗工地考察清单,5,1,1,"# 封窗工地怎么看

去店里看样品，听销售讲得天花乱坠，都不如去他们正在施工的工地上转一圈。那里没有摆拍，只有最真实的材料和手艺。

跟商家说：“我不看装好的样板间，带我去个工地看看。”这时候，什么底细都藏不住。

## **第一步：先看“骨架”——型材是根基**

窗户牢不牢，隔音隔热好不好，七分看型材。蹲下来，凑近看窗框的横截面，这是它的“身份证”。

1.  **核对宽度与厚度**：
    *   **看宽度**：用卷尺量一下窗框整体的宽度，是不是销售说的110、120系列。
    *   **卡厚度**：别信口头承诺。带上游标卡尺，在**窗框背面没打胶的地方、排水孔盖板下面、或者螺丝孔里**量一量。说好的1.8毫米或2.0毫米，少一丝都不行。

2.  **解剖“腔体结构”**：
    *   **数“筋骨”**：看看型材截面里加强筋（那些立着的小隔断）的数量，是不是和店里样品一样多（比如5根、6根）。这直接决定型材抗风压的强度。
    *   **认“隔热条”**：这是断桥铝的“灵魂”。仔细看中间的黑色隔热条，**上面必须有清晰的品牌和材质喷码**（比如“PA66 GF25”）。用手折一下，好的尼龙隔热条韧性足，不会轻易发白或断裂；劣质的PVC条一折就白，还有味道。
    *   **验“玻扇腔体”**：看一个窗扇侧面。如果是宣传的“三腔体”结构，应该在**侧面有两个角码**。顺手量一下玻扇的厚度，是否和样品一致。

## **第二步：检查“关节”与“皮肤”——五金和玻璃是关键**

骨架结实，还得关节灵活、皮肤透亮。

3.  **严审五金系统**：
    *   **看全套，不只是把手**：好五金是一套系统。除了看把手品牌，更要去**看窗扇侧面的锁盒、传动器、锁座，以及窗框上的合页**。看看这些部件上有没有**统一的品牌Logo**。杂牌军是用不长久的。
    *   **上手试**：反复开关、锁闭窗户几次。手感应该是顺滑、沉稳、无卡顿，关闭时感觉密封被压实，用力推拉窗扇也无明显晃动。

4.  **挑剔玻璃细节**：
    *   **刮3C标志**：用钥匙刮玻璃角上的3C认证标志，**真标志是烧制在玻璃上的，刮不掉**；能刮掉一层漆的，绝对是假货。
    *   **查“身份证”**：3C标志下面有一串工厂编码，可以记下来，在“58云玻”等小程序上查询，看这家深加工厂是否靠谱。
    *   **看铝隔条**：重点看玻璃中空层的那圈铝条。**一定要选“一体折弯”工艺的**（铝条一体弯折，四个角没有接头）。如果是“插角工艺”（四个角有四个明显的接头），密封性差，容易漏气起雾。
    *   **观表面**：从侧面不同角度看看玻璃，**不能有波浪形的扭曲或哈哈镜一样的畸变**。

5.  **揪住密封细节**：
    *   **找“三道密封”**：好的系统窗，在窗框和窗扇之间会有三道连续的密封胶条（分别位于外侧、中间和内侧），用手可以摸到。这是防风、防水、隔音的保障。
    *   **看胶条品牌**：检查这些密封胶条，上面是否也有**品牌的压印**。好的胶条（如三元乙丙材质）弹性足，不易老化。

## **第三步：盯死“针脚”——安装工艺定生死**

“三分产品，七分安装”，活儿做得好不好，最后全看细节。

6.  **监督安装材料**：
    *   **拒用“小黄鱼”**：绝对要杜绝那种黄色的塑料膨胀管（业内戏称“小黄鱼”）。看看安装师傅有没有使用**不锈钢拉爆螺丝或自攻螺丝**。
    *   **螺丝别打错地方**：亲眼看着师傅打螺丝，**所有固定螺丝必须打在型材的金属部分，绝对不能打在隔热条上**！打在隔热条上会破坏其结构，导致窗户松动、漏水。

7.  **审视打胶与收边**：
    *   看窗框和墙体之间的外墙密封胶，打得是否**饱满、平整、连续，像一条光滑的瓷缝线**。不能有断断续续、坑坑洼洼或者漏打的地方。这是防水的最后防线。

## **最后，别忘了用眼睛“扫场”**

*   **看保护**：进场时，业主家的地面、原有门窗有没有做好保护？一个对现场都不爱惜的团队，对手艺的追求也有限。
*   **聊两句**：客气地跟安装师傅聊几句：“师傅，装这窗户最要留心啥？”有经验的师傅通常会提到“水平”、“垂直”、“防水”。听听他们怎么说，也能感受其专业度。

把这篇文章存好，去工地时对照着看。当你问出这些具体问题时，商家和工人立刻就会明白：你是懂行的，不敢糊弄。这才是工地参观最大的意义。",,,,1
9,9,2.1.4 封窗合同签订,5,1,1,"# 封窗合同签订避坑指南：把每一句承诺，都变成白纸黑字

量完尺寸，对方案和价格都点头了，就到了签合同的环节。这是你**最后、也是最重要的一道防线**。商家所有的承诺，只有落到这张纸上，才算数。

带着下面这份清单，**一项一项**对照合同写清楚，再签字。

---

## **第一关：锁定产品，验明正身**

合同里关于产品的部分，必须像“身份证”一样精确，杜绝任何模糊空间。

1.  **明细清单，假一赔三**：
    *   在合同附件中，必须详细列明：**铝材品牌、系列（如110）、壁厚（如1.8mm）、颜色；玻璃品牌、厚度（如5+20A+5）、是否钢化、Low-E、充氩气；五金品牌（必须写明“全套”**，包含执手、合页、传动器、锁点等所有部件）。
    *   在所有关键材料条款后，**大胆加上“假一赔三”的承诺**。这能形成强大威慑，让商家不敢以次充好。

2.  **留存证据，验收依据**：
    *   签合同前，用手机拍下你在店里看中的**型材截面样品图**，清晰拍下腔体结构、隔热条宽度等细节。
    *   让商家在合同附件里，**贴上这张照片并盖章**，作为后期到货验收的“铁证”。

## **第二关：理清费用，拒绝增项**

总价怎么来的？会不会有隐藏收费？这里必须掰扯明白。

3.  **费用全包，闭口合同**：
    *   与商家逐项确认，以下费用是否已包含在总价内：**旧窗拆除、洞口修补、防水处理、设计费、包装运费、高空吊装费、搬楼费、垃圾清运费、现场保护费**。
    *   谈妥后，在合同中明确写上：**“本合同为闭口合同，除业主主动变更设计外，不收取报价表外任何其他费用。”**

4.  **确定单价与总价**：
    *   明确每平米的单价，以及根据最终复尺面积计算的总价。
    *   增加保护条款：**“实际安装面积小于乙方计算面积时，应对多算部分予以减除。”** 防止商家在测量时“注水”。

## **第三关：把握核心，守住钱与安全**

付款和安全，是两大命门，直接关系到你的主动权和风险。

5.  **付款比例，尾款是王道**：
    *   首付比例**尽量压低**（如30%-50%）。重点谈判**尾款比例**，坚决争取保留**15%-20%的尾款**，在**全部安装完毕、验收合格后**再支付。
    *   警惕“材料出厂就要付清大部分款项”的条款，那样你手里就没了筹码。

6.  **安全责任，一字千金**：
    *   必须用白纸黑字写明：**“施工过程中（包括大型玻璃吊装、高空作业等）发生的一切人身及财产安全事故，责任均由封窗方承担。”** 这是规避巨大风险的关键条款。

## **第四关：约定规则，保障权益**

用明确的规则，来约束工期、质量和售后。

7.  **工期与延期赔付**：
    *   明确约定从签约到安装完毕的总工期（通常为25-35天）。
    *   写明**工程延期赔付条款**，例如：“每延误一天，按合同总价的千分之一支付违约金。”

8.  **验收标准与质保**：
    *   要求将详细的验收标准（如：关闭严密、开启顺畅、无漏水、打胶平整等）作为合同附件。
    *   **分项写明质保年限**：铝材（通常15-30年）、五金（建议争取10年）、玻璃（5年）。特别要写明**玻璃在什么情况下可以免费更换**（如自爆、严重起雾），以及因此产生的拆卸、安装、玻璃本身等费用由谁承担。

## **最后一步：签字盖章，万事俱备**

9.  **文件齐全，合法有效**：
    *   确保最终确认的**设计图纸、配置明细表**全部作为合同附件。
    *   合同及所有附件必须**盖有公司公章（非合同章）**，并且**盖骑缝章**。
    *   一式两份，自己保管好那份**盖章齐全的原件**。

---

带着这份清单去谈判，你不是在“找茬”，而是在为自己的家建立一个公平、清晰的游戏规则。签下一份严谨的合同，是对你所有前期功课的最终加冕，也是未来十几年安心生活的基石。祝你谈判顺利，稳稳签下一份放心约。",,,,
10,10,2.1.5 封窗安装与验收,5,1,1,"# 封窗安装与验收指南

## **第一阶段：材料进场验收**

材料进场时，务必亲自到场，对照合同和样品，逐一核验。这是防止“偷梁换柱”最重要的一步。

**一、验型材：看“骨骼”是否强健**
1.  **核对主框宽度**：用卷尺测量窗框整体的宽度，确认是合同约定的110、120等系列。
2.  **实测型材厚度**：
    *   **工具**：自备一把游标卡尺。
    *   **部位**：在**窗框背面未打胶处、排水孔盖板下、螺丝孔内**这三个地方分别测量。说好的2.0mm或3.0mm，必须足额，少一丝都不行。
3.  **解剖“腔体结构”**：
    *   **数加强筋**：对照你在店里拍的截面样品照片，看型材内部竖向的加强筋数量是否一致（常见为5-7根）。这是抗风压的关键。
    *   **验隔热条**：仔细看中间黑色隔热条。**必须有清晰的品牌和材质喷码（如“PA66 GF25”）**。用手弯折，优质尼龙条韧性好，劣质PVC条易发白、有异味。
    *   **查玻扇腔体**：拿起窗扇框，看侧面两端是否各有一个角码（“三腔体”应有2个），并测量其厚度是否与样品一致。

**二、验核心部件：查“心脏”与“关节”**
1.  **验五金**：不止看把手。要检查窗扇侧面的**锁盒、传动器、锁座，以及窗框上的合页**，确认是否为**合同约定的同一品牌**。杂牌军的寿命和稳定性肯定不行。
2.  **验玻璃**：
    *   **刮3C标志**：用钥匙刮玻璃角的3C认证，真标志是烧制上去的，**刮不掉**。
    *   **查身份编码**：记录3C下的工厂编码，通过“58云玻”等渠道查询厂家资质。
    *   **看铝隔条**：必须为 **“一体折弯”工艺**（铝条一体弯折，四个角没有接头），拒绝“插角工艺”（四个角有四个明显的接头），后者易漏气起雾。
    *   **测厚度**：测量玻璃整体厚度（如5+20A+5应为30mm），并对光检查表面有无扭曲波纹。
3.  **验辅料，别放过**：
    *   **拒用“小黄鱼”**：固定螺丝必须为**不锈钢拉爆螺丝或自攻螺丝**，严禁使用廉价的黄色塑料膨胀管。
    *   **查胶水保质期**：检查**发泡胶和耐候结构胶**的品牌和生产日期，过期产品坚决要求更换。

## **第二阶段：安装过程监工——盯住工艺命门**

安装时，请牢记核心目标：**安全、牢固、密封、美观**。以下要点，务必现场监督。

**一、安装准备与固定**
1.  **基层处理**：要求师傅用吹风机清理洞口灰尘，并用堵漏王修补外墙裂缝，这是防水的基础。
2.  **横平竖直**：窗框上墙后，必须用**激光水平仪、专用垫块和气垫**三方校准，确保水平和垂直。窗框与墙体间隙应**均匀，最好不超过2cm**。
3.  **正确打螺丝**：监督师傅在型材的金属部分打孔固定，**所有螺丝绝对禁止打在隔热条上**！这是重大工艺错误。

**二、密封与防水（重中之重）**
4.  **满填发泡胶**：窗框与墙体之间的缝隙，必须**从内外两侧，饱满、充分地注入发泡胶**，做到无缝填充。干透后切割外溢部分。
5.  **精细打密封胶**：
    *   **外墙胶**：在发泡胶干后，沿窗框与墙体接缝处打**中性硅酮耐候密封胶**。要求胶条**连续、饱满、平滑**，宽度约1cm，特别是转角处要处理好。
    *   **内部收口**：室内一侧同样需要密封处理。
6.  **做好排水坡**：窗台外侧必须留出向下的坡度（披水坡），确保雨水能顺利流走，不积水。

**三、安装玻璃与调试**
7.  **放置垫块**：安装玻璃前，必须在窗框底部放置**专用玻璃垫块**，避免玻璃直接接触型材。
8.  **安装与密封**：安装玻璃后，压好密封胶条，确保平整无破损。
9.  **调试五金**：安装窗扇，反复调试所有**合页、执手、锁点**，确保开启关闭顺滑、无异响、无晃动。检查外开窗是否已安装**防坠绳**。

## **第三阶段：最终验收——把所有测试做一遍**

安装完毕，不要急着签字付款。请按以下步骤逐项验收：

1.  **检查牢固度**：用力按压玻璃四角及窗扇四个角，感受是否有明显晃动。
2.  **测试密封性**：
    *   **纸片法**：关闭窗扇，将一张A4纸夹在密封条处，用力拉扯，如抽不出则密封良好。
    *   **火光法**：关闭窗户，用打火机或蜡烛靠近窗缝，观察火苗是否稳定不动。
3.  **检查排水**：在窗扇导水槽处倒水，观察水是否迅速从**排水孔**顺畅流出。
4.  **最终极测试——等一场雨**：**务必保留足够尾款（建议15%-20%）**。待一场中到大雨后，仔细检查窗框四周内墙、窗台有无任何渗水、湿痕。确认无误，再付清尾款。

**最后提醒**：封窗是“三分产品，七分安装”。你的严格监督，是这扇窗户未来几十年为你遮风挡雨、守护宁静的最可靠保障。带着这份清单，你就能心中有数，从容应对。",,,,
12,12,2.2 地暖,4,1,1,,,,,
